,school,applicant_number,sat_low,sat_upper,accept_rate,rate
109,Stevens Institute of Technology,9265,1330.0,1480.0,41.4,good
110,St. Lawrence University,6998,1160.0,1350.0,42.4,good
111,Union College (Schenectady NY),6086,1220.0,1420.0,42.9,good
112,Rensselaer Polytechnic Institute,20402,1330.0,1500.0,43.0,good
113,Bentley University,9252,1240.0,1410.0,43.2,good
114,CUNY--Baruch College,20303,1130.0,1330.0,43.4,good
115,Spelman College,9106,1080.0,1230.0,43.4,good
116,Loyola Marymount University,18592,1230.0,1410.0,43.8,good
117,University of Maryland—​College Park,32987,1280.0,1480.0,44.1,good
118,Stony Brook University—​SUNY,37079,1230.0,1440.0,44.1,good
119,Rhodes College,5207,1220.0,1430.0,44.7,good
120,North Carolina State University—​Raleigh,30995,1250.0,1390.0,44.9,good
121,Baylor University,34582,1200.0,1380.0,45.3,good
122,University of Dallas,4676,1150.0,1360.0,45.3,good
123,Gettysburg College,6269,1270.0,1420.0,45.4,good
124,Fordham University,46308,1250.0,1430.0,46.0,good
125,Texas Christian University,19028,1150.0,1350.0,47.1,good
126,Southern Methodist University,13959,1300.0,1480.0,47.3,good
127,Providence College,11478,1210.0,1350.0,47.5,good
128,St. Olaf College,5694,1190.0,1430.0,47.5,good
129,University of New Mexico,12281,1040.0,1270.0,48.6,good
130,University of Georgia,26027,1240.0,1410.0,48.6,good
131,University of San Diego,13755,1200.0,1350.0,48.7,good
132,University of Connecticut,34886,1210.0,1420.0,48.8,good
133,Santa Clara University,16300,1280.0,1440.0,48.8,good
134,Southwestern University,4766,1140.0,1320.0,49.0,good
135,Pennsylvania State University—​University Park,71903,1160.0,1370.0,49.1,good
136,Marist College,11260,1210.0,1360.0,49.2,good
137,The College of New Jersey,13824,1160.0,1360.0,49.3,good
138,Worcester Polytechnic Institute,10645,1310.0,1470.0,49.4,good
139,Syracuse University,34981,1180.0,1370.0,49.9,good
391,United States Military Academy,11675,1200.0,1340.0,10.3,good
392,United States Air Force Academy,10354,1275.0,1465.0,11.1,good
393,United States Coast Guard Academy,2274,1160.0,1340.0,12.8,good
394,United States Merchant Maritime Academy,1693,1280.0,1440.0,24.8,good
395,Howard University,20946,1170.0,1330.0,31.6,good
396,Florida State University,58936,793.0,1078.0,36.0,good
397,Hillsdale College,2208,1240.0,1300.0,36.0,good
398,University of Central Florida,35240,1010.0,1210.0,38.2,good
399,University of Florida,38905,1060.0,1280.0,38.8,good
400,University of South Florida,36986,1150.0,1360.0,47.7,good
140,University of La Verne,7276,1020.0,1205.0,50.9,ok
141,Clemson University,29070,1230.0,1400.0,51.3,ok
142,Austin College,4360,1110.0,1290.0,51.3,ok
143,University of California—​Santa Cruz,55906,1200.0,1360.0,51.5,ok
144,University of Washington--Seattle,45579,1240.0,1440.0,51.8,ok
145,California State University--Fullerton,50105,1030.0,1200.0,52.7,ok
146,University of Wisconsin—​Madison,43921,1330.0,1450.0,53.0,ok
147,Colorado School of Mines,11756,1260.0,1460.0,53.1,ok
148,Chapman University,14198,1190.0,1370.0,53.6,ok
149,Ohio State University—​Columbus,47703,1250.0,1460.0,53.7,ok
150,Texas Lutheran University,2198,990.0,1160.0,54.3,ok
151,University at Albany—​SUNY,27529,1090.0,1250.0,54.3,ok
152,Georgia Southern,13858,1050.0,1200.0,54.5,ok
153,College of Wooster,6352,1150.0,1380.0,54.7,ok
154,San Jose State University,36243,1040.0,1260.0,54.7,ok
155,California State Polytechnic University--Pomona,36660,1030.0,1250.0,55.5,ok
156,Whitman College,4832,1240.0,1450.0,55.8,ok
157,Sarah Lawrence College,3325,1240.0,1420.0,55.8,ok
158,New School,9911,1150.0,1360.0,56.6,ok
159,University of Pittsburgh,32091,1260.0,1440.0,56.7,ok
160,University of California Riverside,49788,1130.0,1340.0,56.7,ok
161,University of Minnesota—​Twin Cities,40673,1260.0,1480.0,56.7,ok
162,Hobart and William Smith Colleges,4526,1203.0,1360.0,56.9,ok
163,Abilene Christian University,11569,1040.0,1230.0,57.0,ok
164,Bennington College,1494,1230.0,1390.0,57.0,ok
165,Birmingham-​Southern College,3628,1040.0,1250.0,57.0,ok
166,Fairfield University,12315,1210.0,1350.0,57.1,ok
167,Georgia State,19838,990.0,1190.0,57.4,ok
168,Texas A&M University—​College Station,42899,1160.0,1390.0,57.5,ok
169,Saint Louis University,15120,1180.0,1370.0,57.5,ok
170,St. John's College Annapolis,913,1210.0,1450.0,57.6,ok
171,Lake Forest College,4147,1110.0,1310.0,57.9,ok
172,Kennesaw State University,13427,1080.0,1270.0,57.9,ok
173,California State University--Fresno,18122,950.0,1130.0,57.9,ok
174,Rollins College,6167,1160.0,1340.0,58.3,ok
175,University of Hawaii at Manoa,16244,1070.0,1270.0,58.4,ok
176,University of Denver,21028,1170.0,1350.0,58.7,ok
177,Hampden-​Sydney College,3240,1050.0,1250.0,59.0,ok
178,University of Illinois—​Urbana-​Champaign,43509,1220.0,1480.0,59.0,ok
179,Millsaps College,4161,1080.0,1260.0,59.3,ok
180,California State University--Northridge,30637,910.0,1130.0,59.3,ok
181,Clark University,7687,1200.0,1390.0,59.4,ok
182,Lipscomb University,3638,1060.0,1320.0,59.5,ok
